parameters,p_cit,p_TL,p_TG,p_GL,p_Lind,p_res,p_L->A,p_L->B,mean_true,mean_shuffle,std_true,std_shuffle,final_call
0.1_0.1,0.765758359803175,0.202504636768642,0.000324487904141,0.765758359803175,0.0634608654004253, ,0.75,0.49,0.003420068,0.017944789,0.0015087278,0.00395884, 
0.1_0.2,0.896573313036237,0.896573313036237,4.28746922944456e-06,0.454989714662154,2.7889812751582597e-11, ,0.71,0.11,0.012311024,0.010402394,0.0031903123,0.0031893093, 
0.1_0.3,0.78316496752368,0.698874433222208,1.02422994223406e-26,0.0119259194008057,0.78316496752368, ,0.02,0.63,0.01822401,0.004712492,0.004493769,0.0017545075, 
0.1_0.4,0.162479381105587,0.107597369554233,1.33680474519271e-38,0.162479381105587,2.26633882401232e-14, ,0.15,0.2,0.0080897845,0.011952931,0.002384948,0.0030691142, 
0.1_0.5,0.999998987466136,0.870693782587288,7.94669041010049e-40,0.176670379745841,0.999998987466136, ,0.17,0.98,0.013357155,0.012042459,0.0033165861,0.0035315268, 
0.1_0.6,0.999220743540071,0.560851253773817,6.348428657204809e-78,0.0146472453686781,0.999220743540071, ,0.0,0.81,0.0062411535,0.011891994,0.00177588,0.004011411, 
0.1_0.7,0.529405498392078,0.0745454828583819,4.1104731098511496e-83,0.529405498392078,1.36244981253015e-20, ,0.08,0.03,0.016348297,0.017622102,0.004471136,0.0041487534, 
0.1_0.8,0.205384052640206,0.156450677865464,1.05730072079168e-112,0.205384052640206,5.80433299501113e-89, ,0.15,0.3,0.0070337844,0.011051633,0.001969907,0.002615166, 
0.1_0.9,1.0,0.117206385926544,1.60886769053979e-120,0.0596404549668949,1.0, ,0.93,0.22,0.012612308,0.009346122,0.0031243756,0.0026439235, 
0.1_1,0.402621557179169,0.0072183005705723,1.93763057182352e-156,0.402621557179169,2.0501193651163798e-57, ,0.04,0.01,0.017012333,0.025461473,0.0037376925,0.0049019028,causal
0.1_3,0.9552481967461,0.527456467559112,0.0,0.9552481967461,1.42271823867542e-58, ,0.82,0.83,0.006562991,0.0030252957,0.002504877,0.0014759477, 
0.2_0.1,0.166426154101734,0.166426154101734,0.0001498635346766,5.33661286168139e-07,0.0011960835869398, ,0.0,0.15,0.010729033,0.011168751,0.0030128723,0.0032977478, 
0.2_0.2,0.996557015448845,0.759026595222946,2.64607967737791e-09,1.84100733298277e-05,0.996557015448845, ,0.0,0.77,0.008676458,0.012161539,0.0027127312,0.0029082766, 
0.2_0.3,0.286541432104059,0.286541432104059,1.8820854306145498e-22,0.0239440247587213,3.12097964803079e-27, ,0.07,0.32,0.0069397665,0.011222651,0.0027291393,0.0031957321, 
0.2_0.4,0.124391013295403,0.124391013295403,2.83863813391547e-38,0.0086765477634775,9.559303559358261e-47, ,0.02,0.32,0.006196579,0.011305582,0.0022341323,0.0029889154, 
0.2_0.5,0.310393272823544,0.310393272823544,2.22167935990639e-59,0.0408363080511076,1.33596966313029e-89, ,0.02,0.53,0.005884315,0.0069538094,0.0019139957,0.0024394204, 
0.2_0.6,0.0965520979688159,0.0965520979688159,5.78977290345969e-65,4.60899013071479e-05,1.10286264652831e-10, ,0.0,0.22,0.012510557,0.008411794,0.0031674854,0.0025042521, 
0.2_0.7,0.19979915541436,0.19979915541436,6.08405293793844e-71,0.0489857332744811,4.720946742803529e-137, ,0.04,0.31,0.004326242,0.018173408,0.0016596153,0.004324794, 
0.2_0.8,0.0051651732449255,0.0051651732449255,1.64779787994157e-114,0.001307633971076,5.12204849245755e-231,causal,0.0,0.0,0.011258125,0.016551798,0.0033078867,0.0043013855,causal
0.2_0.9,1.0,0.615903312811012,1.0512714414090501e-117,0.0026783550855151,1.0, ,0.01,0.33,0.012724448,0.008540221,0.0030239408,0.0027980518, 
0.2_1,0.982105771701463,0.0426095440688624,7.331860331020001e-157,0.982105771701463,6.08593469326624e-35, ,0.09,0.01,0.014941294,0.013374447,0.0034474235,0.0034563083, 
0.2_3,0.0441511604442964,3.17014550155518e-05,0.0,0.0441511604442964,4.4214648646132496e-222,causal,0.0,0.0,0.0035917007,0.021311112,0.002491506,0.0041916743,causal
0.3_0.1,0.185977266769518,0.185977266769518,3.49788736067602e-05,2.0332088698632803e-09,1.20498008879182e-06, ,0.0,0.31,0.008431344,0.009325155,0.0021561056,0.0020766817, 
0.3_0.2,0.361579324096484,0.361579324096484,0.0017259138692222,7.21439161591679e-07,0.000377438905154, ,0.0,0.17,0.01071224,0.010553178,0.0027118365,0.003486726, 
0.3_0.3,0.0081261459308286,0.0081261459308286,1.23414002822845e-19,4.9234321025177e-10,2.6509065481469303e-19,causal,0.0,0.02,0.0054009366,0.02122146,0.0018776167,0.0041413708,causal
0.3_0.4,0.0009508920631425,0.0009508920631425,1.81331521693288e-24,2.6376692430695303e-09,1.59761194636301e-27,causal,0.0,0.0,0.0107579585,0.016619947,0.0028138792,0.003586247,causal
0.3_0.5,0.0072283687175117,0.0072283687175117,1.78462879492736e-57,0.000492372547047,1.55730824983104e-47,causal,0.0,0.04,0.0053819763,0.0130415,0.0021285983,0.0028929368,causal
0.3_0.6,0.0005524757577653,1.05542089554416e-05,7.66390591251525e-68,0.0005524757577653,1.3135659686434e-46,causal,0.0,0.0,0.015171815,0.027564874,0.0042171343,0.005304153,causal
0.3_0.7,0.122364146427532,0.122364146427532,1.18003240057734e-89,0.0002132742597415,3.1109776474377204e-09, ,0.0,0.2,0.008690745,0.009041811,0.0023034378,0.0023031868, 
0.3_0.8,0.0203485037741118,0.0203485037741118,2.97891583565961e-110,8.67699355011163e-07,5.09895109243217e-08,causal,0.0,0.11,0.007949753,0.0105986865,0.0021199917,0.0029480322, 
0.3_0.9,0.544739906540935,0.0629434604637668,3.71344134951897e-126,8.17837525506107e-07,0.544739906540935, ,0.0,0.08,0.009287536,0.01285785,0.0024920779,0.003356902, 
0.3_1,0.0007283039755233,0.0007283039755233,1.90735336359231e-143,2.53676910580466e-05,1.9177723016009e-78,causal,0.0,0.0,0.013780697,0.021048054,0.0032540269,0.0042428705,causal
0.3_3,0.983067578958049,0.0003405875443281,0.0,0.983067578958049,1.02468440623924e-82, ,0.01,0.0,0.012907536,0.01604278,0.00345044,0.004184815,causal
0.4_0.1,0.339384174975342,0.339384174975342,0.000255589043754,1.94986785430315e-09,7.08317154922045e-07, ,0.0,0.44,0.011821307,0.015779812,0.0035660558,0.005404004, 
0.4_0.2,0.115473021815896,0.115473021815896,3.94259157858968e-11,1.7066667328509198e-11,4.26557622398382e-17, ,0.0,0.29,0.0022845017,0.014135185,0.0013187195,0.0034455718, 
0.4_0.3,0.0131296871947863,0.0131296871947863,2.09334898023236e-18,1.8802723455313603e-09,5.26051005788385e-16,causal,0.0,0.02,0.0145446705,0.01632367,0.0032805838,0.003954716,causal
0.4_0.4,0.016252740441904,0.016252740441904,5.34347204819984e-37,1.48060329535608e-05,7.46273840509723e-58,causal,0.0,0.02,0.008735243,0.01140413,0.0025186832,0.002873542,causal
0.4_0.5,0.0171776250104264,0.0171776250104264,2.8263084105483203e-52,5.5768095566441694e-11,3.65897891739474e-13,causal,0.0,0.04,0.009267211,0.01713387,0.002570094,0.004302492,causal
0.4_0.6,0.0017208281662445,0.0017208281662445,1.3329532660116699e-62,0.0005635535821268,2.08060215339249e-69,causal,0.0,0.0,0.02029153,0.018712727,0.0048865736,0.0038760859, 
0.4_0.7,4.58279268350604e-05,4.58279268350604e-05,9.27492238779775e-74,1.0487571701745e-05,4.95533329831808e-97,causal,0.0,0.0,0.014161021,0.027157178,0.0028766913,0.0049925805,causal
0.4_0.8,0.0006084167888008,0.0006084167888008,1.87862434065201e-119,0.0001207115850566,7.91785902624724e-94,causal,0.0,0.0,0.0073689856,0.022914216,0.0027114395,0.0045247977,causal
0.4_0.9,0.0002129161276594,0.0002129161276594,1.0508103802585801e-121,2.25003924476884e-06,2.03058512220889e-73,causal,0.0,0.0,0.007449615,0.022563288,0.0026296647,0.004729762,causal
0.4_1,0.0016825669866465,1.84606799020777e-05,6.20524976099111e-153,0.0016825669866465,1.7326255960254e-110,causal,0.0,0.0,0.00944562,0.023834705,0.002917855,0.0043405956,causal
0.4_3,0.209902956027902,3.47386751334706e-09,0.0,0.209902956027902,1.3348238881297401e-188, ,0.0,0.0,0.0077340878,0.043887615,0.0021985173,0.006191038,causal
0.5_0.1,0.0821939539127183,0.0821939539127183,9.43325987456346e-05,1.04936365266271e-18,3.29209135863314e-05, ,0.0,0.09,0.009762652,0.018333083,0.0028847405,0.0042855158, 
0.5_0.2,0.0031364515260077,0.0031364515260077,2.11429695235928e-06,3.3975433513676004e-16,7.07216210968524e-06,causal,0.0,0.0,0.010775766,0.022399126,0.0031616157,0.003948242,causal
0.5_0.3,0.143356325912439,0.143356325912439,1.35634957750809e-17,2.80821906852771e-13,7.19628556407926e-06, ,0.0,0.28,0.0075279903,0.014068782,0.0024931473,0.0032272704, 
0.5_0.4,0.0002699326851182,0.0002699326851182,5.02368038145621e-47,5.82066806768111e-08,6.39484258874379e-40,causal,0.0,0.0,0.012722425,0.020762399,0.002923303,0.0047130943,causal
0.5_0.5,0.0001206299886639,0.0001206299886639,7.21289256484257e-35,6.32921740062561e-13,1.4661008141169e-34,causal,0.0,0.0,0.009679304,0.019911509,0.0025331678,0.0039305817,causal
0.5_0.6,8.70294028871649e-05,8.70294028871649e-05,8.19071365838236e-72,9.36788672859859e-09,1.12095899805224e-54,causal,0.0,0.0,0.0071284105,0.022389932,0.00241133,0.0050558685,causal
0.5_0.7,0.0004845685572414,0.0004845685572414,1.34932563534944e-84,1.3862408082750801e-14,2.9746082915749e-12,causal,0.0,0.0,0.012518397,0.024761347,0.0034074225,0.005382363,causal
0.5_0.8,9.4545133943501e-06,9.4545133943501e-06,3.65688939225996e-118,3.90661592926351e-10,1.07808435597833e-64,causal,0.0,0.0,0.009687168,0.028291455,0.0026923877,0.005134589,causal
0.5_0.9,3.93496412794925e-09,1.7297396088007697e-11,2.60631036301677e-135,3.93496412794925e-09,4.93101101666194e-101,causal,0.0,0.0,0.01036031,0.06416485,0.0031040155,0.0073176157,causal
0.5_1,3.82490312876705e-06,3.82490312876705e-06,1.15770506175117e-137,3.41572792366737e-08,9.15914924649224e-74,causal,0.0,0.0,0.00910816,0.028480496,0.0027444577,0.004919166,causal
0.5_3,0.111626698475919,3.51880666441546e-13,0.0,0.111626698475919,4.6847961438839595e-208, ,0.0,0.0,0.012255127,0.059836313,0.0031174573,0.0071526878,causal
0.6_0.1,0.791930857743673,0.759262006905752,0.0056337182921079,4.00190294775831e-24,0.791930857743673, ,0.0,0.68,0.022841439,0.016702695,0.004500132,0.003612786, 
0.6_0.2,0.007930028643869,0.007930028643869,9.06694264474552e-14,1.9555301751379802e-21,1.87455207854324e-17,causal,0.0,0.02,0.011256321,0.016371466,0.00316603,0.0033962275,causal
0.6_0.3,0.0252686881924867,0.0252686881924867,1.68552485025055e-20,1.00628040152409e-19,2.81608945738197e-08,causal,0.0,0.07,0.016751101,0.023124283,0.0042577414,0.0041632107, 
0.6_0.4,3.14013612977968e-06,3.14013612977968e-06,2.9123727102255698e-33,9.39431288911252e-21,2.31888283592547e-34,causal,0.0,0.0,0.014523293,0.038787957,0.0036098664,0.0061598704,causal
0.6_0.5,2.50614305802045e-06,2.50614305802045e-06,1.15397273203109e-52,2.62968724707419e-17,5.8411927734571695e-49,causal,0.0,0.0,0.0043082978,0.027324548,0.0019018454,0.005045647,causal
0.6_0.6,1.46404807854892e-08,1.46404807854892e-08,4.78087614652327e-59,1.85816651933685e-13,9.90780813177509e-51,causal,0.0,0.0,0.013870609,0.043169163,0.0036783335,0.0071214563,causal
0.6_0.7,1.17429643070344e-07,1.17429643070344e-07,3.93905880590651e-97,1.05816068278645e-14,1.49646244845839e-57,causal,0.0,0.0,0.0054157437,0.038555656,0.0016533546,0.006145878,causal
0.6_0.8,1.20477568745073e-05,1.20477568745073e-05,1.42943029012113e-104,9.10181640895616e-11,4.0228497763921305e-67,causal,0.0,0.0,0.011020218,0.031826347,0.0033051618,0.006039522,causal
0.6_0.9,2.11616446588896e-06,2.11616446588896e-06,8.47461630992416e-120,2.77503950238641e-20,5.02919396228498e-12,causal,0.0,0.0,0.010033964,0.03821424,0.0027166281,0.0058828318,causal
0.6_1,7.297469889813371e-09,7.297469889813371e-09,1.0117149629405899e-160,3.9666406484038204e-14,1.2722800488068899e-49,causal,0.0,0.0,0.012037508,0.058440674,0.0032018127,0.008607864,causal
0.6_3,0.0002537023313958,1.47697868836965e-16,0.0,0.0002537023313958,9.77309493132916e-150,causal,0.0,0.0,0.009735015,0.088400215,0.0031778158,0.0107435975,causal
0.7_0.1,0.996540255429492,0.968911357815849,0.0006537689415799,1.74321685631905e-29,0.996540255429492, ,0.0,0.75,0.012393875,0.009215336,0.003190371,0.0023444348, 
0.7_0.2,0.0107127592963372,0.0107127592963372,3.0015384693245403e-10,1.7581472370555602e-20,5.18148087932436e-12,causal,0.0,0.03,0.0074829613,0.025154633,0.0023411098,0.006148072,causal
0.7_0.3,0.0323735944310901,0.0323735944310901,9.59035180136346e-22,5.79692461332276e-28,0.0163696066330713,causal,0.0,0.07,0.021785717,0.020685885,0.004592181,0.0041737123, 
0.7_0.4,4.96784702718728e-06,4.96784702718728e-06,1.97142423348598e-35,1.62676088119622e-20,2.29008181300683e-27,causal,0.0,0.0,0.010764748,0.037628844,0.0031590287,0.00583466,causal
0.7_0.5,1.86213262592339e-06,1.86213262592339e-06,1.08234964087043e-54,1.6897448037726701e-21,8.57107693945e-29,causal,0.0,0.0,0.0057954597,0.02847518,0.0019264246,0.005082248,causal
0.7_0.6,3.0943166150185e-15,3.0943166150185e-15,1.93606189021642e-71,1.62257723203916e-26,1.46918045391269e-80,causal,0.0,0.0,0.0057344856,0.077745095,0.0021279682,0.011342448,causal
0.7_0.7,6.59016989006843e-10,6.59016989006843e-10,7.82950856386781e-102,4.5517687394132505e-20,9.71770716408783e-59,causal,0.0,0.0,0.007860289,0.07607872,0.0023860068,0.010750024,causal
0.7_0.8,4.2378528538796804e-09,4.2378528538796804e-09,2.02928724729145e-110,8.48113868856339e-10,1.5461678578416499e-86,causal,0.0,0.0,0.014985892,0.06004261,0.004283057,0.00732653,causal
0.7_0.9,1.30119668871783e-13,1.30119668871783e-13,4.61365271813856e-134,3.9065219791390505e-15,5.26287617435704e-108,causal,0.0,0.0,0.009304157,0.056423936,0.0031758512,0.006863274,causal
0.7_1,2.2715028588279103e-15,1.0753864729944e-16,1.35583326963277e-139,2.2715028588279103e-15,3.5355613430121e-108,causal,0.0,0.0,0.006687162,0.08728378,0.0025919406,0.009003536,causal
0.7_3,0.002644299958724,4.43915261612519e-25,0.0,0.002644299958724,1.67490077738191e-163,causal,0.0,0.0,0.0028659736,0.116410516,0.0020408896,0.011702186,causal
0.8_0.1,0.92715756082803,0.6894998129483,0.0062068494490146,3.14320437130081e-47,0.92715756082803, ,0.0,0.5,0.007781261,0.009080827,0.0028236266,0.0027983584, 
0.8_0.2,0.0285610806553378,0.0285610806553378,6.94416766828215e-09,2.7777403528008e-38,2.73621577060972e-07,causal,0.0,0.02,0.009912982,0.018404983,0.0032280276,0.003626607,causal
0.8_0.3,0.0038919154124371,0.0038919154124371,3.0005610999102504e-19,2.34767114020572e-25,7.567832017189609e-13,causal,0.0,0.02,0.011223917,0.013171759,0.0026462458,0.0032034288,causal
0.8_0.4,2.67609588168181e-06,2.67609588168181e-06,7.95244905481489e-37,1.74199663154996e-24,4.0313961758232395e-43,causal,0.0,0.0,0.014246312,0.02710134,0.0033184264,0.0053674383,causal
0.8_0.5,1.29683440179005e-05,1.29683440179005e-05,3.16695562926936e-48,1.1156325693180701e-25,1.5227373269670099e-18,causal,0.0,0.0,0.021781404,0.022994567,0.004943933,0.0038341475,causal
0.8_0.6,2.55271213891951e-11,2.55271213891951e-11,5.51624646330714e-53,2.10391316222098e-27,2.4821318894677098e-36,causal,0.0,0.0,0.007348062,0.05531259,0.0023340392,0.008377486,causal
0.8_0.7,1.97219697473715e-13,1.97219697473715e-13,1.07302312994602e-80,3.22731777267956e-17,3.78311112540291e-60,causal,0.0,0.0,0.008226988,0.06423777,0.0024577442,0.008150997,causal
0.8_0.8,2.69380038557251e-10,2.69380038557251e-10,1.1886009283069299e-126,1.84429649265809e-22,1.16004593305178e-37,causal,0.0,0.0,0.009681378,0.043283276,0.0034505012,0.007417791,causal
0.8_0.9,3.19894853900724e-18,3.19894853900724e-18,5.5459430570027105e-132,2.71530625054428e-24,3.9241154492891e-64,causal,0.0,0.0,0.008664688,0.08473335,0.0025039215,0.009356373,causal
0.8_1,3.9542392579351603e-14,1.47959169488027e-23,3.6287512472889304e-136,3.9542392579351603e-14,1.79982439834832e-75,causal,0.0,0.0,0.013557703,0.10984083,0.003784118,0.011440102,causal
0.8_3,0.0013307069221401,1.86041667350074e-27,0.0,0.0013307069221401,1.27639595946824e-191,causal,0.0,0.0,0.008424939,0.12875944,0.0025987444,0.011913272,causal
0.9_0.1,0.0052198730867214,0.0052198730867214,0.0008764379411655,1.74213667947747e-44,0.0010523902381958,causal,0.0,0.04,0.018003749,0.02777975,0.0040428853,0.0051403046,causal
0.9_0.2,0.0065160774958449,0.0065160774958449,5.38101943622043e-12,1.50114530699299e-37,6.19970852576601e-10,causal,0.0,0.01,0.025078602,0.016723115,0.005589682,0.0043085287, 
0.9_0.3,5.94147199328487e-05,5.94147199328487e-05,1.49492172935165e-22,7.05578740539798e-40,1.70444090382715e-16,causal,0.0,0.0,0.009021088,0.02869135,0.002301861,0.004646964,causal
0.9_0.4,1.86836245824242e-05,1.86836245824242e-05,6.665851472637699e-31,3.0788469387546797e-34,1.7261714756267102e-19,causal,0.0,0.0,0.024273984,0.0342278,0.0050299754,0.0070352755,causal
0.9_0.5,8.093237024040509e-12,8.093237024040509e-12,1.83416595793109e-42,2.81117615900394e-45,2.7015738438664897e-28,causal,0.0,0.0,0.014112869,0.06128464,0.0032929531,0.006700578,causal
0.9_0.6,3.13265446309791e-06,3.13265446309791e-06,7.961237545184951e-60,4.48864586321308e-27,2.26187283457522e-18,causal,0.0,0.0,0.0110013895,0.053828917,0.0029971204,0.0075853923,causal
0.9_0.7,2.92299118315608e-11,2.92299118315608e-11,2.26829933295014e-100,9.72835521219175e-35,1.94344725782163e-19,causal,0.0,0.0,0.03384291,0.07715003,0.0058793416,0.011109424,causal
0.9_0.8,2.11354570017044e-18,2.11354570017044e-18,1.69727246411237e-100,6.06388796402287e-22,3.98901006848148e-87,causal,0.0,0.0,0.010329745,0.09906915,0.002961701,0.009544649,causal
0.9_0.9,8.13253947649953e-20,4.45960603861815e-32,4.02459207605865e-116,8.13253947649953e-20,4.34763889607928e-65,causal,0.0,0.0,0.023908453,0.16439919,0.0042063924,0.01391729,causal
0.9_1,2.1949938829088098e-22,2.1949938829088098e-22,2.16445273441219e-151,8.34835495331352e-30,2.5393653871396298e-57,causal,0.0,0.0,0.021649728,0.13269764,0.003972393,0.012742641,causal
0.9_3,1.31981798567517e-07,1.8647399588288e-38,0.0,1.31981798567517e-07,1.45911117337628e-170,causal,0.0,0.0,0.011732749,0.17903,0.0031061668,0.014530827,causal
1_0.1,0.33714319279882,0.33714319279882,0.0062284748465815,9.65547220719051e-61,0.318962784647428, ,0.0,0.64,0.01571499,0.005029012,0.0035372088,0.0022913904, 
1_0.2,0.0013254697127993,0.0013254697127993,1.25925217295607e-13,1.0420838056417399e-42,1.7966471794765e-13,causal,0.0,0.03,0.014735605,0.028517742,0.0034432784,0.0055355853,causal
1_0.3,3.3557117392741e-06,3.3557117392741e-06,2.37865113342315e-24,3.34637548961851e-50,6.19106065174058e-18,causal,0.0,0.0,0.005299139,0.024981454,0.0019473588,0.0047587366,causal
1_0.4,1.59098370958936e-06,1.59098370958936e-06,4.0562079474235095e-36,2.4139906870674697e-42,1.7197860303662e-17,causal,0.0,0.0,0.012603148,0.047105063,0.0040695965,0.007857365,causal
1_0.5,4.0778201684665703e-10,4.0778201684665703e-10,2.80838367932432e-50,1.63828482031641e-47,3.4309239924095e-18,causal,0.0,0.0,0.0077662026,0.055241752,0.00273077,0.007934387,causal
1_0.6,2.9604285721423603e-19,2.9604285721423603e-19,3.33764493299222e-64,3.7214392485478e-36,4.0331544398595794e-55,causal,0.0,0.0,0.012148312,0.11328678,0.0025307713,0.010223841,causal
1_0.7,5.23115900622016e-18,5.23115900622016e-18,1.76213586527894e-94,5.04905354518006e-31,4.76371842272505e-61,causal,0.0,0.0,0.011090205,0.0868496,0.0032877007,0.011421101,causal
1_0.8,7.65133043395028e-22,7.65133043395028e-22,1.29583173875946e-109,7.64967108596928e-24,4.3289247184456905e-68,causal,0.0,0.0,0.020440064,0.1037115,0.0052058017,0.01207304,causal
1_0.9,4.44708896782914e-21,4.44708896782914e-21,8.15541223620719e-140,1.5894571349817701e-24,1.4303888350347e-77,causal,0.0,0.0,0.0072126915,0.1009903,0.0025518315,0.009844896,causal
1_1,3.12299844133286e-23,1.6289986648985402e-31,4.48689981056702e-147,3.12299844133286e-23,9.75088991387397e-76,causal,0.0,0.0,0.029556442,0.14380677,0.005321865,0.012727181,causal
1_3,0.0001669998373906,2.66390020511036e-38,0.0,0.0001669998373906,1.6210642636671902e-240,causal,0.0,0.0,0.023759356,0.20466265,0.0066826525,0.015885033,causal
3_0.1,0.206475724148744,0.0007927865007508,0.0002251940180109,1.77367910372991e-250,0.206475724148744, ,0.0,0.0,0.014685246,0.040317792,0.0037208784,0.007450119,causal
3_0.2,3.32214492056297e-10,1.3869954731011602e-20,1.13283426947311e-10,3.2370082867568105e-235,3.32214492056297e-10,causal,0.0,0.0,0.012138819,0.048107967,0.004245676,0.0068371613,causal
3_0.3,2.64760366728706e-09,2.25299459487407e-27,1.91953172616407e-20,1.00062528155154e-215,2.64760366728706e-09,causal,0.0,0.0,0.046312466,0.15450954,0.008044014,0.014216693,causal
3_0.4,2.54971932222728e-31,1.22049918142194e-65,2.54971932222728e-31,3.3239063650365796e-209,1.94320845385995e-37,causal,0.0,0.0,0.018523652,0.5347105,0.0044396445,0.03271059,causal
3_0.5,1.14170938631409e-45,3.03178365064345e-82,2.30252153433691e-48,8.22526312647419e-179,1.14170938631409e-45,causal,0.0,0.0,0.08453341,0.5114097,0.013723878,0.032363847,causal
3_0.6,1.13105411318268e-67,4.69923331247433e-99,1.13105411318268e-67,2.22814083462231e-157,3.6672141152044497e-125,causal,0.0,0.0,0.009505086,0.40107018,0.0041542156,0.022501342,causal
3_0.7,8.81813271389915e-100,9.921021262364819e-135,8.81813271389915e-100,5.36845566371433e-131,0.0,causal,0.0,0.0,0.08208252,0.9197511,0.014096213,0.056376576,causal
3_0.8,2.01196888793078e-112,3.52792261257118e-142,2.01196888793078e-112,3.8557458476703e-135,1.7179722050597e-119,causal,0.0,0.0,0.030153617,0.4966568,0.004558481,0.026072629,causal
3_0.9,7.527876616987e-91,6.40935416201935e-146,1.1815663342223699e-160,9.050089150201039e-107,7.527876616987e-91,causal,0.0,0.0,0.2288953,0.87797076,0.029336248,0.0385719,causal
3_1,1.09931345801562e-89,1.75603267559865e-170,2.9613274574332503e-151,1.09931345801562e-89,4.57628147565098e-261,causal,0.0,0.0,0.0871929,0.88586676,0.012790514,0.040475104,causal
3_3,7.90758667482084e-12,1.32372484611556e-241,0.0,7.90758667482084e-12,0.0,causal,0.0,0.0,0.593321,1.6830062,0.036662936,0.06955882,causal
