parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",spearman,pearson,final_call
0.1_0.1,0.768999945950946,0.550044612251934,0.321633011966246,0.0187174760320308,0.768999945950946, , ,0.06,0.08,0.63,-0.0288636288636288,-0.0299019098850637, 
0.1_0.2,0.999130031524941,0.999130031524941,0.388332873237792,0.0936405848107286,0.68024756713604, , ,0.25,0.89,0.69,-0.0191173631173631,-0.0272853351582765, 
0.1_0.3,0.490429256210657,0.361665934910631,0.203741358274445,0.490429256210657,0.159749350458571, , ,0.55,0.13,0.66,0.0499176379176379,0.0408822620464205, 
0.1_0.4,0.875666838160359,0.327803440109073,0.0009456161766416,0.875666838160359,0.687276070356372, , ,0.19,0.14,0.47,0.1007088887088887,0.1043461387058361, 
0.1_0.5,0.764730025358904,0.57302127443127,0.764730025358904,0.580747553774472,0.456685762685006, , ,0.9,0.09,0.75,0.0287444447444447,0.0097925358727261, 
0.1_0.6,0.640936988339478,0.511172395726437,0.640936988339478,0.212587753606945,0.435704985419167, , ,0.47,0.78,0.91,0.0284040164040164,0.0155861774865122, 
0.1_0.7,0.901895979055377,0.871122780735374,0.901895979055377,0.871115346639294,0.499290325501808, , ,0.32,0.43,0.98,0.0273774993774993,-0.0038784573437857, 
0.1_0.8,0.760610108179167,0.591052061591189,0.22857108293793,0.445537860051709,0.760610108179167, , ,0.51,0.65,0.39,-0.0238217038217038,-0.0377124452130493, 
0.1_0.9,0.786941649264021,0.628730036782754,0.295888429275594,0.468694883254867,0.786941649264021, , ,0.72,0.57,0.93,0.0425438585438585,0.0327482786811897, 
0.1_1,0.95019214177666,0.0389729415281245,0.95019214177666,0.796310328537568,0.543256762693529, , ,0.96,0.09,0.15,0.0472220272220272,0.0025180159076151, 
0.1_3,0.885771463775471,0.720298800731809,0.186165313336694,0.885771463775471,0.462125724435339, , ,0.94,0.73,1.0,0.0175501135501135,-0.0419142836578631, 
0.2_0.1,0.578084229702305,0.411809621469898,0.578084229702305,0.425841050101383,0.351495425930442, , ,0.43,0.59,0.51,0.0233092913092913,0.0182731694914092, 
0.2_0.2,0.774291773584556,0.353531783708136,0.547544382958106,0.208917585749789,0.774291773584556, , ,0.5,0.4,0.15,-0.0183713583713583,-0.0178756226784398, 
0.2_0.3,0.687782890099122,0.431487102146046,0.687782890099122,0.275540633910163,0.633458863896924, , ,0.19,0.69,0.36,-0.0005947925947925,0.011866226207534, 
0.2_0.4,0.913811145731805,0.84987492239352,0.0445957521714955,0.465741871373937,0.913811145731805, , ,0.7,0.59,0.07,-0.0669272949272949,-0.0634063982405346, 
0.2_0.5,0.9732580855058,0.9732580855058,0.625399472546169,0.650088954477631,0.391815939192239, , ,0.89,0.57,0.48,-0.0046745806745806,-0.0154784502998231, 
0.2_0.6,0.804133353820504,0.804133353820504,0.579244197181712,0.0077181307552781,0.274954372711117, , ,0.0,0.6,0.56,-0.0122076842076842,-0.0181632315822631, 
0.2_0.7,0.926934637788216,0.652420530860176,0.926934637788216,0.252504475656141,0.613738764034596, , ,0.27,0.86,0.8,0.0191732231732231,0.0023865564776181, 
0.2_0.8,0.930904281866439,0.36793227412089,0.0653638655600069,0.0659375850653728,0.930904281866439, , ,0.02,0.62,1.0,0.0719069999069999,0.0565994983700369, 
0.2_0.9,0.796589758300922,0.725199470413128,0.248759686348625,0.796589758300922,0.568785894789602, , ,0.1,0.78,0.14,-0.0112357552357552,-0.0364348182312385, 
0.2_1,0.95843221852293,0.95843221852293,0.034244901537217,0.0049518267515734,0.937748206065652, , ,0.04,0.25,0.77,0.0926526806526806,0.0665838053988621, 
0.2_3,0.758201434869936,0.709060727434867,0.411763643833982,0.0121983755009628,0.758201434869936, , ,0.0,0.77,0.0,0.0597903717903718,0.0249813551791005, 
0.3_0.1,0.89381501584548,0.89381501584548,0.16842726377553,0.0034323992150177,0.869691293522484, , ,0.02,0.74,0.28,-0.0366194886194886,-0.0430328994423082, 
0.3_0.2,0.846327638622991,0.486166812361752,0.191102047361902,0.846327638622991,0.415080070437185, , ,0.98,0.37,0.96,-0.0476005316005316,-0.0415403689704537, 
0.3_0.3,0.966443060813764,0.0728143264309871,0.737415281118293,0.966443060813764,0.568098856848938, , ,1.0,0.0,0.18,0.014076566076566,0.0107136129571842, 
0.3_0.4,0.788265238742251,0.684204332586375,0.412438801659605,0.0025677619071166,0.788265238742251, , ,0.01,0.79,0.4,-0.0048559728559728,-0.024617328501993, 
0.3_0.5,0.21518703331938,0.21518703331938,0.0992997403319863,0.0465539549094214,0.0468499791168817, , ,0.07,0.4,0.44,0.0635319035319035,0.0545772964154778, 
0.3_0.6,0.987839956251083,0.763627336242794,0.19598211631179,0.987839956251083,0.525559791129652, , ,0.95,0.73,0.02,-0.0234105834105834,-0.0409427254480356, 
0.3_0.7,0.58636302464886,0.391986939564855,0.503990698417624,0.283845380904105,0.58636302464886, , ,0.48,0.37,0.57,0.0114708954708954,-0.0202418900396316, 
0.3_0.8,0.904825620258868,0.142583909072999,0.571800441561669,0.904825620258868,0.532298303180083, , ,0.88,0.15,0.1,0.0114591474591474,-0.0177528346530898, 
0.3_0.9,0.720074473960084,0.720074473960084,0.541393810819925,0.0262811779320347,0.344840574043123, , ,0.04,0.88,0.03,0.0347846627846627,0.0200949638629911, 
0.3_1,0.71424040415661,0.14447397346532,0.71424040415661,0.568340327315958,0.48362156496298, , ,0.8,0.06,0.21,-0.0117719997719997,-0.0124448832273997, 
0.3_3,0.647782862746005,0.209404943138922,0.533874981313882,0.647782862746005,0.35600217460347, , ,0.85,0.5,0.96,0.0594368514368514,0.0202936944872472, 
0.4_0.1,0.924636488650669,0.924636488650669,0.666402584581435,0.0978296522997221,0.40495790511148, , ,0.23,0.48,0.68,0.0121416961416961,0.0137937777415907, 
0.4_0.2,0.920162150416562,0.364981076101636,0.920162150416562,0.0031029792842113,0.580119179253667, , ,0.0,0.38,0.29,-0.002082914082914,-0.0004806693712335, 
0.4_0.3,0.436357494446633,0.436357494446633,0.155926840707683,0.0143021248998495,0.122444392923617, , ,0.03,0.47,0.64,0.0514663234663234,0.0467083350999149, 
0.4_0.4,0.91737991818612,0.155178575672864,0.316713783482943,0.91737991818612,0.488493978690338, , ,0.81,0.17,0.98,-0.0155164355164355,-0.0318890480796185, 
0.4_0.5,0.959334058669519,0.588389495398336,0.959334058669519,0.0017535753480124,0.429138981950126, , ,0.0,0.8,0.39,0.0102448542448542,-0.0033019765574773, 
0.4_0.6,0.826765953576735,0.0033160523750688,0.169395904064757,0.826765953576735,0.517612102005784, , ,0.9,0.01,0.06,0.0536218736218736,0.043052865188524, 
0.4_0.7,0.840013379708825,0.717651811986199,0.1892921635458,0.100007816466894,0.840013379708825, , ,0.32,0.77,0.71,0.0488519888519888,0.0409170977590195, 
0.4_0.8,0.91842808131545,0.492033809082377,0.139512873999542,0.0047762967990953,0.91842808131545, , ,0.02,0.77,0.98,0.047056787056787,0.0446724041850996, 
0.4_0.9,0.982095428132911,0.982095428132911,0.187269737875257,0.0289871617722754,0.770870778982837, , ,0.09,0.78,0.6,-0.0185599745599745,-0.041607305656182, 
0.4_1,0.759716731128389,0.0879337844673896,0.759716731128389,0.0563101547484097,0.451195078489652, , ,0.1,0.01,0.35,0.0231990711990712,0.0129505379907514, 
0.4_3,0.84200207245443,0.475303854193646,0.0771036033427916,0.252395335305135,0.84200207245443, , ,0.51,0.61,0.93,0.0992647592647592,0.0551172121791208, 
0.5_0.1,0.978894285265472,0.928606539438618,0.978894285265472,0.0010450845601989,0.558420573651606, , ,0.0,0.99,0.86,0.0131503211503211,0.0005397472631504, 
0.5_0.2,0.913048783996441,0.665676461181705,0.15012304637895,0.000240309558541,0.913048783996441, , ,0.0,0.01,0.36,-0.0535464775464775,-0.0436804155143454, 
0.5_0.3,0.872757057607257,0.562101219257349,0.872757057607257,0.0002802632844262,0.463720966638265, , ,0.01,0.25,1.0,-0.0034246474246474,0.0071463322068393, 
0.5_0.4,0.498831580268307,0.498831580268307,0.492162344532916,0.0599152085523858,0.227603074918479, , ,0.11,0.78,0.61,0.0317210237210237,0.0229971197334922, 
0.5_0.5,0.40505400383929,0.40505400383929,0.236734477572355,0.127405751425192,0.168951061764836, , ,0.32,0.81,0.96,0.0587397347397347,0.0387073799320094, 
0.5_0.6,0.913566281008513,0.1850305590893,0.913566281008513,0.0122720647950659,0.510016879307527, , ,0.03,0.31,0.35,0.0271579831579831,0.006755851869116, 
0.5_0.7,0.942040030500016,0.884334848607941,0.942040030500016,0.0031768163054642,0.592615564119463, , ,0.0,0.81,0.17,-0.0026363066363066,-0.0027227063825391, 
0.5_0.8,0.882772551816925,0.882772551816925,0.802492484129788,0.251483909675242,0.589914488102075, , ,0.37,0.83,0.01,0.0257979137979138,0.007748653891373, 
0.5_0.9,0.977800968135607,0.803259215852799,0.0795503595184743,0.0001789281014593,0.977800968135607, , ,0.0,0.86,0.75,-0.0195237555237555,-0.0541831401135893, 
0.5_1,0.394810885322859,0.394810885322859,0.310319710687446,0.0129182212117242,0.0604978814978209, , ,0.02,0.15,0.17,0.0557642717642717,0.0341585549698827, 
0.5_3,0.727745085258617,0.423132101816662,0.727745085258617,0.0233875696073744,0.393345787833287, , ,0.08,0.64,0.99,0.0549432669432669,0.01282177294172, 
0.6_0.1,0.628289148584986,0.460772433650605,0.628289148584986,0.0002247401187265,0.381371709132725, , ,0.0,0.65,0.58,-0.0119396279396279,-0.0179548712507312, 
0.6_0.2,0.767247865611274,0.714967375125388,0.434544026760938,0.0033459938453834,0.767247865611274, , ,0.03,0.14,0.67,-0.0389160749160749,-0.023574394449858, 
0.6_0.3,0.993459494961315,0.107972744524242,0.0491620235248291,4.1256523511062e-05,0.993459494961315, , ,0.0,0.23,0.83,0.0583136263136263,0.0552620284823393, 
0.6_0.4,0.912043285405647,0.912043285405647,0.0158554566878867,4.85622659580389e-07,0.86927050776876, , ,0.0,0.7,0.37,0.0826898626898627,0.0758956238906373, 
0.6_0.5,0.798705598117028,0.730003759379465,0.542255665776391,0.0123005815434264,0.798705598117028, , ,0.05,0.77,0.68,-0.0065642945642945,-0.0183788951992445, 
0.6_0.6,0.922610017501247,0.244431511031096,0.182321914844925,0.0346748738064864,0.922610017501247, , ,0.17,0.33,0.35,0.0436438156438156,0.0397050966853261, 
0.6_0.7,0.849867911914394,0.849867911914394,0.623019161238834,9.49244020462858e-10,0.212502414554051, , ,0.0,0.87,0.65,0.0366962646962647,0.0164322276542956, 
0.6_0.8,0.646168702059945,0.154678673962049,0.646168702059945,1.65638792238641e-06,0.313175198712349, , ,0.0,0.3,0.66,0.0072255312255312,-0.0211911003012433, 
0.6_0.9,0.807247066602388,0.0675359685224155,0.328877373782681,2.22542389093542e-07,0.807247066602388, , ,0.0,0.14,1.0,0.0371400731400731,0.0211288254050022, 
0.6_1,0.971838316900815,0.711933417239253,0.0328137423317576,0.0039853886093755,0.971838316900815, , ,0.0,0.9,0.08,0.05809003009003,0.0662038029065908, 
0.6_3,0.967900690539795,0.967900690539795,0.0737140866231808,3.03352318979151e-07,0.847184924743269, , ,0.0,1.0,0.0,0.0834473514473514,0.0560741411814896, 
0.7_0.1,0.762908362986941,0.585472897392508,0.376808229892427,4.06303150255033e-05,0.762908362986941, , ,0.0,0.86,0.52,-0.0283663003663003,-0.0255269491585293, 
0.7_0.2,0.651371100533376,0.297887355116136,0.651371100533376,3.6081304038303605e-09,0.603858214140117, , ,0.0,0.31,0.65,-0.0013617733617733,-0.007964528664395, 
0.7_0.3,0.204011380827612,0.204011380827612,0.0979200929505686,7.06163161350944e-08,0.0270762068275592, , ,0.0,0.05,0.85,0.0370971850971851,0.0584662985669482, 
0.7_0.4,0.779178147420678,0.368941046493548,0.502399783908321,0.0004920054329259,0.779178147420678, , ,0.0,0.72,0.0,-0.0106669066669066,-0.017994424077362, 
0.7_0.5,0.228578923948704,0.228578923948704,0.0337447773641959,0.0013875508676769,0.0514745924718987, , ,0.0,0.27,0.61,0.0726224406224406,0.0707119253637123, 
0.7_0.6,0.775312522379207,0.775312522379207,0.758991219759836,0.0005572261599887,0.453509252252238, , ,0.0,0.24,0.09,-0.0038268758268758,-0.0106464118837058, 
0.7_0.7,0.9914656133448,0.9914656133448,0.608230937874394,0.0208148703908208,0.439814638196167, , ,0.08,0.96,0.86,0.0094972774972774,-0.0162185167702064, 
0.7_0.8,0.535137589514482,0.200938520765875,0.535137589514482,6.88208230089171e-06,0.196232261772406, , ,0.0,0.24,0.99,0.0311553071553071,0.0251997885228035, 
0.7_0.9,0.254143015893936,0.231180396389958,0.254143015893936,1.89574368922362e-06,0.137069508691881, , ,0.0,0.4,0.75,-0.0247998487998488,-0.0414079357572489, 
0.7_1,0.601376132493421,0.582092280321364,0.601376132493421,5.84706808564351e-05,0.410244888218872, , ,0.0,0.4,0.96,0.0365632325632325,0.0186258352053954, 
0.7_3,0.887957252323796,0.887957252323796,0.631173295994264,0.0557762931852631,0.672083942765681, , ,0.04,0.95,0.0,0.0219790059790059,-0.0149093985138209, 
0.8_0.1,0.813533226874418,0.761474826283386,0.813533226874418,4.17957172184295e-05,0.459068190469618, , ,0.01,0.74,0.76,-0.0011961851961851,0.0086516656236228, 
0.8_0.2,0.845748643103076,0.729392077810775,0.234229514830617,7.98920638670305e-07,0.845748643103076, , ,0.0,0.82,0.31,0.0393826233826233,0.0355154387314715, 
0.8_0.3,0.75898441137873,0.662989304520346,0.75898441137873,4.81237728393133e-06,0.6179704367719, , ,0.0,0.79,0.93,0.0122520122520122,0.0076304029010561, 
0.8_0.4,0.840900827289159,0.32708555880905,0.373593000482821,1.68409594645993e-07,0.840900827289159, , ,0.0,0.6,0.86,-0.0196021276021276,-0.0227066985190557, 
0.8_0.5,0.947281635449871,0.79801244958487,0.947281635449871,2.14661342996747e-07,0.560244290735986, , ,0.0,0.78,0.25,0.0193777273777273,0.0007442567180011, 
0.8_0.6,0.505983905785855,0.0204303148927922,0.505983905785855,0.0001020169242063,0.277292695619527, , ,0.0,0.08,0.47,-0.0172199692199692,-0.0299692296839197, 
0.8_0.7,0.899161669539144,0.302635231211742,0.899161669539144,0.0004273615734587,0.387225676118536, , ,0.0,0.56,0.39,0.0016881616881616,-0.007622945959568, 
0.8_0.8,0.863191941762528,0.140878992032487,0.230923889406961,0.0354863422369697,0.863191941762528, , ,0.15,0.29,0.08,-0.0204361404361404,-0.0347957047441871, 
0.8_0.9,0.812285736846426,0.493238102116126,0.358534651191711,1.44824633164808e-06,0.812285736846426, , ,0.0,0.52,0.98,-0.029086373086373,-0.0254610555105336, 
0.8_1,0.0902236018640034,0.0144479181520936,0.0902236018640034,0.027255843159732,0.0475573858511204, , ,0.08,0.06,0.06,0.0752248112248112,0.0590530205518077, 
0.8_3,0.494619371197587,0.494619371197587,0.344343974805089,1.03580463389039e-05,0.140811494859793, , ,0.0,0.67,1.0,0.0934489534489534,0.0326671975541656, 
0.9_0.1,0.36856457516512,0.36856457516512,0.129811754531712,1.05808651199889e-05,0.0265803763498671, , ,0.0,0.63,0.45,-0.046998862998863,-0.0514553340323263, 
0.9_0.2,0.934359594194653,0.278004175494822,0.934359594194653,0.000736035843024,0.578634864232728, , ,0.0,0.5,0.75,-0.0061067461067461,-0.0010680126249962, 
0.9_0.3,0.735183294401671,0.7042811751647,0.567863750148252,1.7446972832727002e-10,0.735183294401671, , ,0.0,0.81,0.07,0.0076576156576156,0.0153243652781552, 
0.9_0.4,0.824549530507854,0.558133210009886,0.824549530507854,7.2104367479139e-08,0.450991389916792, , ,0.0,0.82,0.89,-0.0171316971316971,-0.0100631908851411, 
0.9_0.5,0.0723995199391927,0.0261839357044739,0.0723995199391927,3.89325822079861e-06,0.0255623673731247, , ,0.0,0.13,0.96,0.0848581928581928,0.0665993970644865, 
0.9_0.6,0.894510242026862,0.170010717554687,0.894510242026862,7.84651172015013e-08,0.415617293319806, , ,0.0,0.24,0.03,0.0123869163869163,0.0114852056527461, 
0.9_0.7,0.940574520763134,0.330022967846814,0.0668988409725177,0.0014948857333694,0.940574520763134, , ,0.0,0.42,0.39,0.0554635634635634,0.0546516187187012, 
0.9_0.8,0.934744657363416,0.932314135469868,0.934744657363416,0.0137381404855845,0.577292298318057, , ,0.0,0.0,0.09,0.0245953685953685,0.0027954194401229, 
0.9_0.9,0.751689469214118,0.0274445838925169,0.751689469214118,1.5630972488287e-11,0.675829263684651, , ,0.0,0.04,1.0,0.0025680145680145,0.004939510931518, 
0.9_1,0.423935778272167,0.423935778272167,0.388918426773384,2.14422462682929e-05,0.191257503448016, , ,0.0,0.52,0.47,-0.0217250737250737,-0.0304399942993927, 
0.9_3,0.863761962231249,0.863761962231249,0.0951343225575191,2.28403340221489e-09,0.862472972837093, , ,0.0,0.93,1.0,0.102981198981199,0.050881032968799, 
1_0.1,0.741756895841137,0.741756895841137,0.0017383957282648,1.45158386996416e-10,0.51271838631356, , ,0.0,0.88,0.74,-0.0695943575943576,-0.0990328246770759, 
1_0.2,0.907353207282585,0.907353207282585,0.765130489138954,1.2743629312635e-09,0.696206501792174, , ,0.0,0.45,0.06,-0.0026677226677226,0.0085883525042972, 
1_0.3,0.727827273265621,0.459774899402855,0.727827273265621,9.26567639350114e-10,0.339815898702792, , ,0.0,0.68,0.83,-0.0087121527121527,-0.0153177842502147, 
1_0.4,0.709041934630259,0.62500890660509,0.452059533247386,1.49599111470867e-10,0.709041934630259, , ,0.0,0.79,0.5,-0.0167345687345687,-0.0202296534788842, 
1_0.5,0.883124615999916,0.81340144003052,0.883124615999916,1.97735955079581e-08,0.460762196921269, , ,0.0,0.98,0.63,-0.0011467931467931,-0.0059026741787, 
1_0.6,0.939157333438524,0.939157333438524,0.78780124094578,1.54182381774191e-07,0.20844375570079, , ,0.0,0.35,0.76,0.0077413277413277,0.008808558364619, 
1_0.7,0.81334106190941,0.81334106190941,0.44403569395799,3.19815435724313e-05,0.759658546995731, , ,0.0,0.82,0.14,0.0275419715419715,0.023054285693935, 
1_0.8,0.614223509050196,0.614223509050196,0.489365552350639,5.04313099410739e-10,0.31858367788758, , ,0.0,0.0,0.61,0.041054717054717,0.0245903796209336, 
1_0.9,0.736584884302715,0.446054139800185,0.736584884302715,7.33659455486042e-06,0.680842302760081, , ,0.0,0.64,0.26,-0.0083302523302523,-0.007141977998895, 
1_1,0.87960086551488,0.636020472843889,0.103195071386851,1.18153651920842e-08,0.87960086551488, , ,0.0,0.18,0.82,0.0791294951294951,0.0480849127326175, 
1_3,0.372263290609939,0.359807515720211,0.372263290609939,7.10393216107213e-08,0.186940073876417, , ,0.0,0.49,0.39,0.0673860433860434,0.0327700185013924, 
3_0.1,0.663621395021867,0.270746578990186,0.663621395021867,2.9888920246049503e-47,0.648883155466723, , ,0.0,0.39,0.47,-0.0009744609744609,-0.0027372365165109, 
3_0.2,0.338425931293406,0.338425931293406,0.101087390378417,3.09385628665038e-50,0.0191590944091955, , ,0.0,0.25,0.28,-0.0522417162417162,-0.0599581927262953, 
3_0.3,0.94726869204593,0.94726869204593,0.192984347679929,1.5726016219873401e-63,0.8004869539297, , ,0.0,0.94,0.69,0.031079635079635,0.0347306860504544, 
3_0.4,0.749774361976761,0.0574831508765087,0.653294643422086,9.44760599716572e-51,0.749774361976761, , ,0.0,0.09,0.98,-0.0051803331803331,0.0142987412327596, 
3_0.5,0.427889272744055,0.272713961539216,0.427889272744055,8.484518784816981e-54,0.284765594974498, , ,0.0,0.19,0.18,-0.0311908031908031,-0.0382974561435732, 
3_0.6,0.693323065570168,0.693323065570168,0.456511639692909,3.60562885456466e-50,0.0452650951404987, , ,0.0,0.75,0.67,-0.017044577044577,-0.0266764031176798, 
3_0.7,0.879094227338217,0.533215172311893,0.211731450163494,1.71668645276578e-50,0.879094227338217, , ,0.0,0.51,0.66,0.0234876234876234,0.0265378850305917, 
3_0.8,0.915707854731862,0.915707854731862,0.423146435467568,6.520416673759001e-56,0.74897654124317, , ,0.0,0.77,0.28,0.0203349323349323,0.0208285785594146, 
3_0.9,0.997599465061831,0.148802176560075,0.997599465061831,6.5171081592410005e-49,0.534661276953624, , ,0.0,0.19,0.79,-0.0285072405072405,-0.0202747928087854, 
3_1,0.763827353017676,0.719909279001733,0.576121438634848,7.86308525473707e-47,0.763827353017676, , ,0.0,0.01,0.25,-0.0021856101856101,-0.0110560791573902, 
3_3,0.942946823953807,0.115694778573155,0.942946823953807,3.22356628448672e-50,0.529635365051332, , ,0.0,0.3,0.15,0.0292786612786612,0.0242982514217158, 
