target,source,id..zero.indexed..,eqtl,hgnc_source,hgnc_target
ENSG00000006788,ENSG00000170270,1013,14_93682932,GON7,MYH13
ENSG00000051596,ENSG00000170089,2716,5_177267396,ENSG00000170089,THOC3
ENSG00000052795,ENSG00000272703,1598,18_11108793,ENSG00000272703,FNIP2
ENSG00000099290,ENSG00000152726,439,10_47959745,ENSG00000152726,WASHC2A
ENSG00000101194,ENSG00000102554,924,13_74110412,KLF5,SLC17A9
ENSG00000101407,ENSG00000155085,2812,6_109882991,AK9,TTI1
ENSG00000103226,ENSG00000254681,1181,16_18245855,PKD1P5,NOMO3
ENSG00000106211,ENSG00000187013,1527,17_59511975,LINC02875,HSPB1
ENSG00000107485,ENSG00000109606,2585,4_24809491,DHX15,GATA3
ENSG00000115548,ENSG00000158169,3533,9_98341712,FANCC,KDM3A
ENSG00000119986,ENSG00000102554,929,13_74110412,KLF5,AVPI1
ENSG00000122497,ENSG00000225241,47,1_144612613,ENSG00000225241,ENSG00000122497
ENSG00000122497,ENSG00000236943,39,1_144521257,ENSG00000236943,ENSG00000122497
ENSG00000132781,ENSG00000265542,1524,17_56155245,ENSG00000265542,MUTYH
ENSG00000149050,ENSG00000167984,1260,16_3589024,NLRC3,ZNF214
ENSG00000149503,ENSG00000227471,3102,7_134261674,AKR1B15,INCENP
ENSG00000149792,ENSG00000196867,1850,19_57050820,ZFP28,MRPL49
ENSG00000162236,ENSG00000180999,139,1_172416860,C1orf105,STX5
ENSG00000163840,ENSG00000197536,2659,5_131789557,IRF1-AS1,DTX3L
ENSG00000170890,ENSG00000165862,377,10_118288309,ENSG00000165862,PLA2G1B
ENSG00000170899,ENSG00000235111,2277,22_50052175,ENSG00000235111,GSTA4
ENSG00000170954,ENSG00000172340,2499,3_67422015,SUCLG2,ZNF415
ENSG00000172058,ENSG00000253203,2746,5_68639267,GUSBP3,SERF1A
ENSG00000174194,ENSG00000188234,420,10_45923528,AGAP4,ENSG00000174194
ENSG00000178222,ENSG00000178177,2575,4_17595598,LCORL,RNF212
ENSG00000178882,ENSG00000169180,1224,16_28167117,XPO6,RFLNA
ENSG00000186466,ENSG00000181997,3509,9_70176768,AQP7P2,AQP7P1
ENSG00000188234,ENSG00000225784,460,10_51586514,ENSG00000225784,AGAP4
ENSG00000188234,ENSG00000174194,458,10_51585752,ENSG00000174194,AGAP4
ENSG00000188801,ENSG00000124549,2871,6_26433329,BTN2A3P,ZNF322P1
ENSG00000196436,ENSG00000261556,1303,16_70285901,SMG1P7,NPIPB15
ENSG00000196576,ENSG00000174529,178,1_205040835,TMEM81,PLXNB2
ENSG00000196656,ENSG00000197728,798,12_56435929,RPS26,ENSG00000196656
ENSG00000197568,ENSG00000151445,1007,14_77941455,VIPAS39,HHLA3
ENSG00000204150,ENSG00000188234,422,10_45923528,AGAP4,ENSG00000204150
ENSG00000204196,ENSG00000197958,3415,9_130196537,RPL12,RPL12P16
ENSG00000204592,ENSG00000117151,332,1_85081690,CTBS,HLA-E
ENSG00000204632,ENSG00000243753,2924,6_31093587,HLA-L,HLA-G
ENSG00000204632,ENSG00000204540,2919,6_31083156,PSORS1C1,HLA-G
ENSG00000204837,ENSG00000237846,3485,9_43138378,ENSG00000237846,FGF7P3
ENSG00000205572,ENSG00000237075,2778,5_70670771,ENSG00000237075,SERF1B
ENSG00000211751,ENSG00000144560,2295,3_11509668,VGLL4,TRBC1
ENSG00000214425,ENSG00000214401,1471,17_44790203,KANSL1-AS1,LRRC37A4P
ENSG00000215861,ENSG00000229801,69,1_149706610,ENSG00000229801,ENSG00000215861
ENSG00000223393,ENSG00000214309,3274,7_99731110,MBLAC1,ENSG00000223393
ENSG00000225774,ENSG00000101307,2081,20_1895949,SIRPB1,SIRPAP1
ENSG00000225784,ENSG00000188234,418,10_45923528,AGAP4,ENSG00000225784
ENSG00000228522,ENSG00000181997,3508,9_70176768,AQP7P2,ENSG00000228522
ENSG00000228903,ENSG00000267368,3072,7_102207927,UPK3BL1,RASA4CP
ENSG00000229018,ENSG00000205583,3227,7_75111135,STAG3L1,PMS2P7
ENSG00000229391,ENSG00000234745,2932,6_31233532,HLA-B,HLA-DRB6
ENSG00000230734,ENSG00000147403,3601,X_153586165,RPL10,RPL10P3
ENSG00000230847,ENSG00000253203,2743,5_68639267,GUSBP3,OCLNP1
ENSG00000231925,ENSG00000125347,2648,5_131765206,IRF1,TAPBP
ENSG00000232320,ENSG00000182534,1575,17_74684858,MXRA7,MXRA7P1
ENSG00000233673,ENSG00000153107,1907,2_112501261,ANAPC1,ANAPC1P1
ENSG00000234655,ENSG00000183444,3260,7_97593885,OR7E38P,OR7E155P
ENSG00000234655,ENSG00000243554,3261,7_97593885,CCZ1P1,OR7E155P
ENSG00000236496,ENSG00000132507,1551,17_7208197,EIF5A,GPS2P1
ENSG00000236833,ENSG00000185485,2369,3_195332514,SDHAP1,ENSG00000236833
ENSG00000237039,ENSG00000233927,1878,19_8387207,RPS28,RPS28P4
ENSG00000237075,ENSG00000253203,2747,5_68639267,GUSBP3,ENSG00000237075
ENSG00000239883,ENSG00000225784,461,10_51586514,ENSG00000225784,PARGP1
ENSG00000242299,ENSG00000231500,3012,6_33239869,RPS18,ENSG00000242299
ENSG00000243445,ENSG00000105193,1770,19_39926601,RPS16,ENSG00000243445
ENSG00000244607,ENSG00000232859,1414,17_26206414,LYRM9,CCDC13
ENSG00000250138,ENSG00000237075,2781,5_70670771,ENSG00000237075,ENSG00000250138
ENSG00000250966,ENSG00000163041,206,1_226266029,H3-3A,H3P14
ENSG00000253203,ENSG00000226259,2758,5_70308251,GTF2H2B,GUSBP3
ENSG00000253570,ENSG00000221988,2978,6_32133098,PPT2,RNF5P1
ENSG00000254184,ENSG00000198874,3199,7_66615118,TYW1,ENSG00000254184
ENSG00000261079,ENSG00000090857,1299,16_70158880,PDPR,ENSG00000261079
ENSG00000261079,ENSG00000247228,1298,16_70158880,ENSG00000247228,ENSG00000261079
ENSG00000261770,ENSG00000268442,1722,19_24293189,ENSG00000268442,ENSG00000261770
ENSG00000263503,ENSG00000214401,1474,17_44790203,KANSL1-AS1,MAPK8IP1P2
ENSG00000266918,ENSG00000120071,1481,17_44790203,KANSL1,ENSG00000266918
ENSG00000266918,ENSG00000214401,1469,17_44790203,KANSL1-AS1,ENSG00000266918
ENSG00000266918,ENSG00000262539,1475,17_44790203,ENSG00000262539,ENSG00000266918
ENSG00000267809,ENSG00000178127,1649,18_9190419,NDUFV2,NDUFV2P1
